source,sourceLabel,target,targetLabel,linkLabel
403091220,SOLVAY,877542370,SOLVAY PHARM,CONSO SCS
403091220,SOLVAY,461615674,CYTEC BELGIUM,CONSO SCS
403091220,SOLVAY,416983303,CARRIERES,CONSO SCS
403091220,SOLVAY,812307395,SOLVAY ENERGY,CONSO SCS
403091220,SOLVAY,408249541,SA SOLVAY CHIMIE,LF A2
403091220,SOLVAY,423898710,SOLVAC,CONSO SCS
403091220,SOLVAY,406804736,SOLVAY CHEMICAL,CONSO SCS
423898710,SOLVAC,423898710,SOLVAC,CONSO SCS
408249541,SA SOLVAY CHIMIE,880410503,SA BASF INTEROX H202 PRODUCTION,LF A2
408249541,SA SOLVAY CHIMIE,403409340,,LF A2
403409340,,406804736,SOLVAY CHEMICAL,LF A2
