source,sourceLabel,target,targetLabel,linkLabel
0219919487,Société Regionale d'Investissement de Wallonie,0405747040,PRAYON,LF A2
0219919487,Société Regionale d'Investissement de Wallonie,0418217577,Société Nationale de Construction Aérospatiale,LF A2
0219919487,Société Regionale d'Investissement de Wallonie,0419202029,B.E. FIN SA,Liège
0219919487,Société Regionale d'Investissement de Wallonie,0421988404,FIWAPAC SA,Liège
0219919487,Société Regionale d'Investissement de Wallonie,0426091207,SOFIBAIL SA,Liège
0219919487,Société Regionale d'Investissement de Wallonie,0426516918,SRIW ENVIRONNEMENT SA,Liège
0219919487,Société Regionale d'Investissement de Wallonie,0429547573,SRIW FINANCE SA,Liège
0219919487,Société Regionale d'Investissement de Wallonie,0434854760,SRIW IMMOBILIER SA,Liège
0219919487,Société Regionale d'Investissement de Wallonie,0437249076,SYNERGIES WALLONIE SA,Liège
0219919487,Société Regionale d'Investissement de Wallonie,0455653441,SOWECSOM SA,Liège
0219919487,Société Regionale d'Investissement de Wallonie,0466557627,Société DE FINANCEMENT DES EAUX SA,Liège
0219919487,Société Regionale d'Investissement de Wallonie,0657816980,WOW SA,Liège
0405747040,PRAYON,0425177823,Société INDUSTRIELLE LiègeOISE DES OXYDES,LF A2
0405747040,PRAYON,0405742090,PRAYON BENELUX SA,Liège
0405747040,PRAYON,0419644566,PRAYON TECHNOLOGIES SA,Liège
0405747040,PRAYON,0440744838,beLife SA,Liège
0405747040,PRAYON,0846150202,beLife Intermediates SA,Liège
0418217577,Société Nationale de Construction Aérospatiale,0444302758,HOMIFREEZ,bestand centra
0418217577,Société Nationale de Construction Aérospatiale,0631792672,SONACA VENTURES HOLDING,SCS
0418217577,Société Nationale de Construction Aérospatiale,0637867149,SONACA AIRCRAFT,SCS
0425177823,Société INDUSTRIELLE LiègeOISE DES OXYDES,0401872483,JEAN GOLDSCHMIDT INTERNATIONAL,LF A2
0425177823,Société INDUSTRIELLE LiègeOISE DES OXYDES,0401872483,JEAN GOLDSCHMIDT INTERNATIONAL,Liège
0425177823,Société INDUSTRIELLE LiègeOISE DES OXYDES,0425177823,Société INDUSTRIELLE LiègeOISE DES OXYDES,Liège
0425177823,Société INDUSTRIELLE LiègeOISE DES OXYDES,0427416939,HYDROMETAL,Liège
0426516918,SRIW ENVIRONNEMENT SA,0435376382,NV DEME ENVIRONMENTAL CONTRACTORS,LF A2
0429547573,SRIW FINANCE SA,0407026747,SA LIBEERT,LF A2
