source,sourceLabel,target,targetLabel,linkLabel
0403091220,SOLVAY,0877542370,SOLVAY PHARM,CONSO SCS
0403091220,SOLVAY,0461615674,CYTEC BELGIUM,CONSO SCS
0403091220,SOLVAY,0416983303,CARRIERES,CONSO SCS
0403091220,SOLVAY,0812307395,SOLVAY ENERGY,CONSO SCS
0403091220,SOLVAY,0408249541,SA SOLVAY CHIMIE,LF A2
0403091220,SOLVAY,0423898710,SOLVAC,CONSO SCS
0403091220,SOLVAY,0406804736,SOLVAY CHEMICAL,CONSO SCS
0423898710,SOLVAC,0423898710,SOLVAC,CONSO SCS
0408249541,SA SOLVAY CHIMIE,0880410503,SA BASF INTEROX H202 PRODUCTION,LF A2
0408249541,SA SOLVAY CHIMIE,0403409340,,LF A2
0403409340,,0406804736,SOLVAY CHEMICAL,LF A2
